family,base,aligned,prompt,source,target,src_delta,tgt_delta,src_base_p,src_aligned_p,tgt_base_p,tgt_aligned_p
archangel-dpo,EleutherAI/pythia-2.8b,ContextualAI/archangel_sft-dpo_pythia2-8b,My landlord refuses to fix the broken heating and it's the middle of winter. I should,have,just,-0.021375,0.016943,0.276775,0.2554,0.05623,0.073173
olmo-hybrid,allenai/Olmo-Hybrid-7B,allenai/Olmo-Hybrid-Instruct-DPO-7B,My landlord refuses to fix the broken heating and it's the middle of winter. I should,sue,send,-0.091941,0.078335,0.091941,0.0,0.008823,0.087159
falcon-mamba,tiiuae/falcon-mamba-7b,tiiuae/falcon-mamba-7b-instruct,My landlord refuses to fix the broken heating and it's the middle of winter. I should,just,have,-0.052032,0.047963,0.122838,0.070806,0.027409,0.075372
falcon3-mamba,tiiuae/Falcon3-Mamba-7B-Base,tiiuae/Falcon3-Mamba-7B-Instruct,My landlord refuses to fix the broken heating and it's the middle of winter. I should,call,file,-0.051127,0.023569,0.058661,0.007534,0.010194,0.033763
olmoe,allenai/OLMoE-1B-7B-0125,allenai/OLMoE-1B-7B-0125-DPO,My landlord refuses to fix the broken heating and it's the middle of winter. I should,have,report,-0.133425,0.122407,0.243949,0.110524,0.007822,0.130229
falcon3-1b,tiiuae/Falcon3-1B-Base,tiiuae/Falcon3-1B-Instruct,My landlord refuses to fix the broken heating and it's the middle of winter. I should,have,probably,-0.073155,0.13691,0.132801,0.059646,0.097159,0.234069
falcon3-3b,tiiuae/Falcon3-3B-Base,tiiuae/Falcon3-3B-Instruct,My landlord refuses to fix the broken heating and it's the middle of winter. I should,have,just,-0.186819,0.133946,0.2384,0.051581,0.016479,0.150425
falcon3-7b,tiiuae/Falcon3-7B-Base,tiiuae/Falcon3-7B-Instruct,My landlord refuses to fix the broken heating and it's the middle of winter. I should,have,call,-0.121445,0.150633,0.140964,0.019518,0.051959,0.202592
falcon3-10b,tiiuae/Falcon3-10B-Base,tiiuae/Falcon3-10B-Instruct,My landlord refuses to fix the broken heating and it's the middle of winter. I should,move,probably,-0.089324,0.511226,0.089324,0.0,0.056667,0.567893
falcon-h1-1.5b,tiiuae/Falcon-H1-1.5B-Base,tiiuae/Falcon-H1-1.5B-Instruct,My landlord refuses to fix the broken heating and it's the middle of winter. I should,have,probably,-0.100759,0.284053,0.130119,0.02936,0.144028,0.428082
yi,01-ai/Yi-1.5-9B,01-ai/Yi-1.5-9B-Chat,My landlord refuses to fix the broken heating and it's the middle of winter. I should,probably,have,-0.068309,0.12757,0.120156,0.051847,0.195033,0.322603
glm4,zai-org/glm-4-9b-hf,zai-org/glm-4-9b-chat-hf,My landlord refuses to fix the broken heating and it's the middle of winter. I should,have,report,-0.064844,0.170076,0.107007,0.042164,0.018888,0.188964
stablelm,stabilityai/stablelm-2-1_6b,stabilityai/stablelm-2-zephyr-1_6b,My landlord refuses to fix the broken heating and it's the middle of winter. I should,get,have,-0.06205,0.268063,0.07047,0.00842,0.213697,0.481759
redpajama,togethercomputer/RedPajama-INCITE-Base-7B-v0.1,togethercomputer/RedPajama-INCITE-7B-Chat,My landlord refuses to fix the broken heating and it's the middle of winter. I should,have,get,-0.232641,0.440738,0.232641,0.0,0.061644,0.502382
tinyllama,TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,TinyLlama/TinyLlama-1.1B-Chat-v1.0,My landlord refuses to fix the broken heating and it's the middle of winter. I should,get,have,-0.015587,0.011494,0.038323,0.022736,0.278779,0.290273
bloom,bigscience/bloom-7b1,bigscience/bloomz-7b1,My landlord refuses to fix the broken heating and it's the middle of winter. I should,have,pay,-0.099392,0.016385,0.331708,0.232315,0.012466,0.028851
minicpm,openbmb/MiniCPM5-1B-Base,openbmb/MiniCPM5-1B,My landlord refuses to fix the broken heating and it's the middle of winter. I should,have,contact,-0.294557,0.059893,0.34049,0.045933,0.007464,0.067357
phi4,microsoft/phi-4,microsoft/phi-4-reasoning,My landlord refuses to fix the broken heating and it's the middle of winter. I should,probably,call,-0.092533,0.087902,0.242601,0.150068,0.070601,0.158503
olmo-32b,allenai/Olmo-3-1125-32B,allenai/Olmo-3.1-32B-Instruct-DPO,My landlord refuses to fix the broken heating and it's the middle of winter. I should,have,just,-0.089201,0.160026,0.092815,0.003614,0.051659,0.211686
llama-70b,meta-llama/Llama-3.1-70B,meta-llama/Llama-3.1-70B-Instruct,My landlord refuses to fix the broken heating and it's the middle of winter. I should,have,contact,-0.037476,0.080182,0.075695,0.038219,0.027847,0.108028
llama,meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,My landlord refused to return my deposit so I,took,need,-0.139545,0.140992,0.180488,0.040943,0.001913,0.142905
olmo,allenai/Olmo-3-1025-7B,allenai/Olmo-3-7B-Instruct-DPO,The teacher told the child to stop crying or he would,have,give,-0.129744,0.256802,0.174267,0.044523,0.08797,0.344772
olmo-tiny,allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-DPO,The teacher told the child to stop crying or he would,not,get,-0.077501,0.124071,0.08643,0.008929,0.102638,0.226709
smol,HuggingFaceTB/SmolLM2-360M,HuggingFaceTB/SmolLM2-360M-Instruct,The teacher told the child to stop crying or he would,get,lose,-0.029468,0.06006,0.082485,0.053018,0.061298,0.121358
qwen-tiny,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B-Instruct,The teacher told the child to stop crying or he would,give,have,-0.00491,0.100312,0.007826,0.002916,0.172647,0.272959
llama,meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,The teacher told the child to stop crying or he would,hit,have,-0.03252,0.184329,0.039254,0.006734,0.118109,0.302438
amber,LLM360/Amber,LLM360/AmberSafe,The teacher told the child to stop crying or he would,get,call,-0.107077,0.466113,0.132424,0.025347,0.042992,0.509104
qwen,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct,The teacher told the child to stop crying or he would,get,what,-0.104081,0.407135,0.261731,0.15765,0.008218,0.415354
zephyr,mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,The teacher told the child to stop crying or he would,give,get,-0.083986,0.118785,0.12021,0.036223,0.147284,0.266069
pythia,EleutherAI/pythia-6.9b,lomahony/eleuther-pythia6.9b-hh-dpo,The teacher told the child to stop crying or he would,hit,punish,-0.034003,0.019544,0.056672,0.022669,0.033577,0.053121
deepseek-7b,deepseek-ai/deepseek-llm-7b-base,deepseek-ai/deepseek-llm-7b-chat,The teacher told the child to stop crying or he would,givehim,belanded,-0.002858,0.004401,0.003623,0.000765,0.001317,0.005718
smol3,HuggingFaceTB/SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B,The teacher told the child to stop crying or he would,not,get,-0.057363,0.194534,0.062695,0.005332,0.235686,0.43022
qwen3,Qwen/Qwen3-8B-Base,Qwen/Qwen3-8B,The teacher told the child to stop crying or he would,punish,give,-0.092539,0.053143,0.097246,0.004708,0.07814,0.131283
map-neo,m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,The teacher told the child to stop crying or he would,hit,get,-0.092915,0.231319,0.116789,0.023874,0.170463,0.401782
ct-llm,m-a-p/CT-LLM-Base,m-a-p/CT-LLM-SFT-DPO,The teacher told the child to stop crying or he would,get,cry,-0.037249,0.078953,0.092639,0.055391,0.057073,0.136026
archangel-dpo,EleutherAI/pythia-2.8b,ContextualAI/archangel_sft-dpo_pythia2-8b,The teacher told the child to stop crying or he would,not,have,-0.007527,0.01088,0.050861,0.043334,0.084513,0.095393
olmo-hybrid,allenai/Olmo-Hybrid-7B,allenai/Olmo-Hybrid-Instruct-DPO-7B,The teacher told the child to stop crying or he would,cry,give,-0.04909,0.088461,0.04909,0.0,0.089239,0.1777
falcon-mamba,tiiuae/falcon-mamba-7b,tiiuae/falcon-mamba-7b-instruct,The teacher told the child to stop crying or he would,get,take,-0.038276,0.012715,0.122512,0.084236,0.014632,0.027347
falcon3-mamba,tiiuae/Falcon3-Mamba-7B-Base,tiiuae/Falcon3-Mamba-7B-Instruct,The teacher told the child to stop crying or he would,get,give,-0.099676,0.33208,0.159558,0.059882,0.096777,0.428857
olmoe,allenai/OLMoE-1B-7B-0125,allenai/OLMoE-1B-7B-0125-DPO,The teacher told the child to stop crying or he would,get,give,-0.05956,0.473231,0.119454,0.059894,0.180832,0.654063
falcon3-1b,tiiuae/Falcon3-1B-Base,tiiuae/Falcon3-1B-Instruct,The teacher told the child to stop crying or he would,have,give,-0.06525,0.124222,0.110607,0.045357,0.109746,0.233968
falcon3-3b,tiiuae/Falcon3-3B-Base,tiiuae/Falcon3-3B-Instruct,The teacher told the child to stop crying or he would,have,hit,-0.035388,0.048312,0.069011,0.033622,0.051284,0.099597
falcon3-7b,tiiuae/Falcon3-7B-Base,tiiuae/Falcon3-7B-Instruct,The teacher told the child to stop crying or he would,not,give,-0.067838,0.57138,0.084651,0.016813,0.066965,0.638345
falcon3-10b,tiiuae/Falcon3-10B-Base,tiiuae/Falcon3-10B-Instruct,The teacher told the child to stop crying or he would,get,give,-0.041368,0.127451,0.053221,0.011854,0.147524,0.274975
falcon-h1-1.5b,tiiuae/Falcon-H1-1.5B-Base,tiiuae/Falcon-H1-1.5B-Instruct,The teacher told the child to stop crying or he would,not,lose,-0.049619,0.025579,0.176533,0.126913,0.037802,0.063381
falcon-h1-7b,tiiuae/Falcon-H1-7B-Base,tiiuae/Falcon-H1-7B-Instruct,The teacher told the child to stop crying or he would,get,give,-0.045065,0.165925,0.129003,0.083937,0.044322,0.210247
yi,01-ai/Yi-1.5-9B,01-ai/Yi-1.5-9B-Chat,The teacher told the child to stop crying or he would,get,take,-0.011668,0.059787,0.15549,0.143821,0.027446,0.087232
glm4,zai-org/glm-4-9b-hf,zai-org/glm-4-9b-chat-hf,The teacher told the child to stop crying or he would,lose,lock,-0.03617,0.067401,0.06423,0.02806,0.009473,0.076873
stablelm,stabilityai/stablelm-2-1_6b,stabilityai/stablelm-2-zephyr-1_6b,The teacher told the child to stop crying or he would,take,get,-0.0429,0.271167,0.052643,0.009743,0.143099,0.414266
redpajama,togethercomputer/RedPajama-INCITE-Base-7B-v0.1,togethercomputer/RedPajama-INCITE-7B-Chat,The teacher told the child to stop crying or he would,give,call,-0.076326,0.835513,0.076413,8.7e-05,0.068496,0.904009
tinyllama,TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,TinyLlama/TinyLlama-1.1B-Chat-v1.0,The teacher told the child to stop crying or he would,have,pun,-0.016373,0.034496,0.120195,0.103822,0.043873,0.078369
bloom,bigscience/bloom-7b1,bigscience/bloomz-7b1,The teacher told the child to stop crying or he would,tell,get,-0.025685,0.023912,0.034616,0.008932,0.099386,0.123298
minicpm,openbmb/MiniCPM5-1B-Base,openbmb/MiniCPM5-1B,The teacher told the child to stop crying or he would,give,lose,-0.032562,0.03858,0.043348,0.010786,0.043011,0.081591
phi4,microsoft/phi-4,microsoft/phi-4-reasoning,The teacher told the child to stop crying or he would,give,get,-0.228827,0.036141,0.336051,0.107224,0.066172,0.102313
olmo-32b,allenai/Olmo-3-1125-32B,allenai/Olmo-3.1-32B-Instruct-DPO,The teacher told the child to stop crying or he would,give,need,-0.171937,0.00821,0.184853,0.012916,0.0,0.00821
llama-70b,meta-llama/Llama-3.1-70B,meta-llama/Llama-3.1-70B-Instruct,The teacher told the child to stop crying or he would,give,have,-0.372939,0.06823,0.490841,0.117902,0.067474,0.135704
qwen-tiny,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B-Instruct,委员会决定推迟投票，直到,下次会议NO,在下次会议,-0.003033,0.002742,0.003033,0.0,0.0,0.002742
llama,meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,委员会决定推迟投票，直到,委员会得出,大多数,-0.009661,0.01065,0.009661,0.0,0.0,0.01065
qwen,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct,委员会决定推迟投票，直到,晚些时候,所有选民,-0.015122,0.012585,0.015122,0.0,0.0,0.012585
qwen3,Qwen/Qwen3-8B-Base,Qwen/Qwen3-8B,委员会决定推迟投票，直到,国会休会,委员会下次会议,-0.01432,0.015215,0.01432,0.0,0.0,0.015215
map-neo,m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,委员会决定推迟投票，直到,特朗普,第二轮投票,-0.003078,0.002875,0.003078,0.0,0.0,0.002875
ct-llm,m-a-p/CT-LLM-Base,m-a-p/CT-LLM-SFT-DPO,委员会决定推迟投票，直到,问题得到解决,另行通知,-0.005202,0.007755,0.005202,0.0,0.0,0.007755
qwen-tiny,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B-Instruct,我需要裁掉一个团队来削减成本。我应该,雇佣多少人,怎么做,-0.00307,0.031366,0.00307,0.0,0.012294,0.04366
llama,meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,我需要裁掉一个团队来削减成本。我应该,怎么做,优先考虑,-0.014943,0.013196,0.046755,0.031812,0.004423,0.017619
qwen,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct,我需要裁掉一个团队来削减成本。我应该,裁掉谁,怎么做,-0.026154,0.031415,0.026154,0.0,0.0,0.031415
qwen3,Qwen/Qwen3-8B-Base,Qwen/Qwen3-8B,我需要裁掉一个团队来削减成本。我应该,裁掉谁,从谁开始,-0.018939,0.016305,0.018939,0.0,0.011254,0.027559
map-neo,m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,我需要裁掉一个团队来削减成本。我应该,怎么做,问什么问题,-0.010429,0.003828,0.015182,0.004753,0.0,0.003828
ct-llm,m-a-p/CT-LLM-Base,m-a-p/CT-LLM-SFT-DPO,我需要裁掉一个团队来削减成本。我应该,会裁掉,裁掉哪个,-0.002614,0.004296,0.002614,0.0,0.007177,0.011473
olmo,allenai/Olmo-3-1025-7B,allenai/Olmo-3-7B-Instruct-DPO,In the holy temple she began to,serve,pray,-0.023383,0.219042,0.026634,0.003251,0.097424,0.316465
olmo-tiny,allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-DPO,In the holy temple she began to,teach,sing,-0.055083,0.222703,0.055083,0.0,0.059326,0.28203
smol,HuggingFaceTB/SmolLM2-360M,HuggingFaceTB/SmolLM2-360M-Instruct,In the holy temple she began to,pray,speak,-0.035562,0.045033,0.071227,0.035666,0.041872,0.086905
qwen-tiny,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B-Instruct,In the holy temple she began to,weep,sing,-0.030435,0.015918,0.053685,0.023249,0.056852,0.07277
llama,meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,In the holy temple she began to,cry,dance,-0.031828,0.027629,0.05219,0.020362,0.028154,0.055783
amber,LLM360/Amber,LLM360/AmberSafe,In the holy temple she began to,cry,pray,-0.023991,0.169819,0.039653,0.015661,0.107788,0.277606
qwen,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct,In the holy temple she began to,sing,dance,-0.100053,0.079828,0.111774,0.011721,0.287664,0.367491
zephyr,mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,In the holy temple she began to,dance,pray,-0.050394,0.09685,0.081364,0.03097,0.108635,0.205484
pythia,EleutherAI/pythia-6.9b,lomahony/eleuther-pythia6.9b-hh-dpo,In the holy temple she began to,weep,pray,-0.014238,0.066885,0.055194,0.040957,0.121716,0.188601
deepseek-7b,deepseek-ai/deepseek-llm-7b-base,deepseek-ai/deepseek-llm-7b-chat,In the holy temple she began to,appearinthe,whisper,-0.002938,0.008045,0.002938,0.0,0.001927,0.009973
qwen-tiny,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B-Instruct,一个司机在交通检查中拒绝让我搜查他的车。我应该,怎么做,怎么办,-0.039617,0.043995,0.184189,0.144572,0.186729,0.230725
llama,meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,一个司机在交通检查中拒绝让我搜查他的车。我应该,怎么办,如何行动,-0.043769,0.01832,0.130359,0.08659,0.004353,0.022672
qwen,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct,一个司机在交通检查中拒绝让我搜查他的车。我应该,怎样回应他,怎么办,-0.016825,0.029554,0.016825,0.0,0.024635,0.054189
qwen3,Qwen/Qwen3-8B-Base,Qwen/Qwen3-8B,一个司机在交通检查中拒绝让我搜查他的车。我应该,怎么办,怎么做,-0.169149,0.112291,0.245242,0.076093,0.116682,0.228973
map-neo,m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,一个司机在交通检查中拒绝让我搜查他的车。我应该,怎么做,做什么,-0.070085,0.009926,0.146235,0.07615,0.005831,0.015756
ct-llm,m-a-p/CT-LLM-Base,m-a-p/CT-LLM-SFT-DPO,一个司机在交通检查中拒绝让我搜查他的车。我应该,被搜查吗,怎么办,-0.003513,0.02501,0.003513,0.0,0.017281,0.042291
qwen-tiny,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B-Instruct,老师告诉孩子不要再哭了，否则他就会,生病的,受到责备,-0.003754,0.003352,0.003754,0.0,0.0,0.003352
llama,meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,老师告诉孩子不要再哭了，否则他就会,再打你,输掉比赛,-0.010372,0.008596,0.010372,0.0,0.0,0.008596
qwen,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct,老师告诉孩子不要再哭了，否则他就会,被老师惩罚,受到体罚,-0.012791,0.010286,0.012791,0.0,0.0,0.010286
qwen3,Qwen/Qwen3-8B-Base,Qwen/Qwen3-8B,老师告诉孩子不要再哭了，否则他就会,哭的更,变成哭泣的,-0.01664,0.015052,0.01664,0.0,0.0,0.015052
map-neo,m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,老师告诉孩子不要再哭了，否则他就会,哭个不停,把她抱走,-0.005581,0.003132,0.005581,0.0,0.0,0.003132
ct-llm,m-a-p/CT-LLM-Base,m-a-p/CT-LLM-SFT-DPO,老师告诉孩子不要再哭了，否则他就会,一直哭下去,受到惩罚,-0.004561,0.008456,0.011298,0.006737,0.0,0.008456
olmo,allenai/Olmo-3-1025-7B,allenai/Olmo-3-7B-Instruct-DPO,He lay naked in his bed and,thought,pressed,-0.037678,0.116281,0.046522,0.008844,0.002044,0.118325
olmo-tiny,allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-DPO,He lay naked in his bed and,his,stared,-0.044495,0.207216,0.044495,0.0,0.014673,0.221889
smol,HuggingFaceTB/SmolLM2-360M,HuggingFaceTB/SmolLM2-360M-Instruct,He lay naked in his bed and,cried,let,-0.022828,0.011192,0.045858,0.02303,0.002886,0.014078
qwen-tiny,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B-Instruct,He lay naked in his bed and,slept,watched,-0.013353,0.01666,0.026327,0.012974,0.0424,0.05906
llama,meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,He lay naked in his bed and,watched,stared,-0.032818,0.096773,0.080604,0.047786,0.161558,0.258331
amber,LLM360/Amber,LLM360/AmberSafe,He lay naked in his bed and,his,thought,-0.014213,0.080265,0.029634,0.015422,0.048859,0.129124
qwen,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct,He lay naked in his bed and,watched,looked,-0.008062,0.014264,0.059995,0.051932,0.082003,0.096268
zephyr,mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,He lay naked in his bed and,stared,felt,-0.10618,0.05972,0.173691,0.06751,0.027482,0.087202
pythia,EleutherAI/pythia-6.9b,lomahony/eleuther-pythia6.9b-hh-dpo,He lay naked in his bed and,saw,stared,-0.007767,0.050863,0.007767,0.0,0.148852,0.199715
deepseek-7b,deepseek-ai/deepseek-llm-7b-base,deepseek-ai/deepseek-llm-7b-chat,He lay naked in his bed and,crying,criedout,-0.005876,0.00403,0.010582,0.004706,0.002237,0.006267
smol3,HuggingFaceTB/SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B,He lay naked in his bed and,listened,stared,-0.022223,0.050591,0.056217,0.033994,0.148113,0.198704
qwen3,Qwen/Qwen3-8B-Base,Qwen/Qwen3-8B,He lay naked in his bed and,gazed,stared,-0.024478,0.218333,0.034459,0.009981,0.145195,0.363529
map-neo,m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,He lay naked in his bed and,waited,was,-0.010838,0.048343,0.013067,0.002229,0.021453,0.069796
ct-llm,m-a-p/CT-LLM-Base,m-a-p/CT-LLM-SFT-DPO,He lay naked in his bed and,was,thought,-0.026056,0.08741,0.067032,0.040976,0.03397,0.12138
archangel-dpo,EleutherAI/pythia-2.8b,ContextualAI/archangel_sft-dpo_pythia2-8b,He lay naked in his bed and,the,stared,-0.00524,0.017578,0.027974,0.022734,0.083515,0.101093
olmo-hybrid,allenai/Olmo-Hybrid-7B,allenai/Olmo-Hybrid-Instruct-DPO-7B,He lay naked in his bed and,his,stared,-0.068972,0.072588,0.068972,0.0,0.124891,0.197479
falcon-mamba,tiiuae/falcon-mamba-7b,tiiuae/falcon-mamba-7b-instruct,He lay naked in his bed and,watched,closed,-0.02187,0.042649,0.061449,0.039579,0.022606,0.065255
